time_step,fair_value,bid_price,ask_price,spread,order_type,trade_executed,trade_size,starting_inventory,ending_inventory,inventory,starting_cash,ending_cash,cash,pnl
14,97.46950380633115,96.66950380633115,98.66950380633115,2.0,sell,True,1,-2,-1,-1,207.48265792840476,110.81315412207361,110.81315412207361,13.343650315742465
15,97.70654331105963,96.80654331105963,98.80654331105963,2.0,none,False,0,-1,-1,-1,110.81315412207361,110.81315412207361,110.81315412207361,13.10661081101398
16,97.86124760157315,96.96124760157315,98.96124760157315,2.0,none,False,0,-1,-1,-1,110.81315412207361,110.81315412207361,110.81315412207361,12.951906520500458
17,96.95289636888448,96.05289636888448,98.05289636888448,2.0,buy,True,1,-1,-2,-2,110.81315412207361,208.8660504909581,208.8660504909581,14.960257753189126
18,96.11248032273174,95.31248032273174,97.31248032273174,2.0,buy,True,1,-2,-3,-3,208.8660504909581,306.1785308136898,306.1785308136898,17.841089845494594
19,95.66842752895192,94.96842752895192,96.96842752895192,2.0,buy,True,1,-3,-4,-4,306.1785308136898,403.1469583426417,403.1469583426417,20.473248226834016
20,95.40878946318568,94.80878946318569,96.80878946318569,2.0,buy,True,1,-4,-5,-5,403.1469583426417,499.9557478058274,499.9557478058274,22.91180048989895
21,96.28209863861068,95.78209863861068,97.78209863861068,2.0,sell,True,1,-5,-4,-4,499.9557478058274,404.1736491672167,404.1736491672167,19.045254612773988
22,95.62437593500687,95.02437593500687,97.02437593500687,2.0,none,False,0,-4,-4,-4,404.1736491672167,404.1736491672167,404.1736491672167,21.676145427189226
23,94.95118092253072,94.35118092253073,96.35118092253073,2.0,sell,True,1,-4,-3,-3,404.1736491672167,309.822468244686,309.822468244686,24.96892547709382
24,95.23118044223891,94.5311804422389,96.5311804422389,2.0,sell,True,1,-3,-2,-2,309.822468244686,215.29128780244707,215.29128780244707,24.828926917969255
25,95.91688428261853,95.11688428261853,97.11688428261853,2.0,none,False,0,-2,-2,-2,215.29128780244707,215.29128780244707,215.29128780244707,23.457519237210022
26,95.37498042654673,94.57498042654673,96.57498042654673,2.0,buy,True,1,-2,-3,-3,215.29128780244707,311.8662682289938,311.8662682289938,25.741326949353606
27,94.91046217849814,94.21046217849813,96.21046217849813,2.0,sell,True,1,-3,-2,-2,311.8662682289938,217.6558060504957,217.6558060504957,27.834881693499426
28,95.66319743144348,94.86319743144348,96.86319743144348,2.0,sell,True,1,-2,-1,-1,217.6558060504957,122.79260861905222,122.79260861905222,27.12941118760874
29,95.45446123356481,94.55446123356481,96.55446123356481,2.0,none,False,0,-1,-1,-1,122.79260861905222,122.79260861905222,122.79260861905222,27.338147385487403
30,95.37216493873962,94.47216493873961,96.47216493873961,2.0,buy,True,1,-1,-2,-2,122.79260861905222,219.26477355779184,219.26477355779184,28.52044368031261
31,95.49490120706592,94.69490120706593,96.69490120706593,2.0,sell,True,1,-2,-1,-1,219.26477355779184,124.56987235072592,124.56987235072592,29.074971143659994
32,96.29054697427088,95.39054697427088,97.39054697427088,2.0,buy,True,1,-1,-2,-2,124.56987235072592,221.9604193249968,221.9604193249968,29.37932537645503
33,97.2856221872611,96.4856221872611,98.4856221872611,2.0,buy,True,1,-2,-3,-3,221.9604193249968,320.4460415122579,320.4460415122579,28.589174950474614
34,96.37985493811057,95.67985493811057,97.67985493811057,2.0,sell,True,1,-3,-2,-2,320.4460415122579,224.76618657414735,224.76618657414735,32.00647669792622
35,96.9640136668365,96.1640136668365,98.1640136668365,2.0,buy,True,1,-2,-3,-3,224.76618657414735,322.9302002409838,322.9302002409838,32.03815924047433
36,96.72725223984956,96.02725223984956,98.02725223984956,2.0,none,False,0,-3,-3,-3,322.9302002409838,322.9302002409838,322.9302002409838,32.74844352143515
37,96.78548093004784,96.08548093004784,98.08548093004784,2.0,none,False,0,-3,-3,-3,322.9302002409838,322.9302002409838,322.9302002409838,32.573757450840276
38,97.50704033451683,96.80704033451683,98.80704033451683,2.0,sell,True,1,-3,-2,-2,322.9302002409838,226.12315990646698,226.12315990646698,31.10907923743332
39,97.87046107256998,97.07046107256998,99.07046107256998,2.0,buy,True,1,-2,-3,-3,226.12315990646698,325.19362097903695,325.19362097903695,31.582237761327008
40,98.1523846697296,97.4523846697296,99.4523846697296,2.0,buy,True,1,-3,-4,-4,325.19362097903695,424.64600564876656,424.64600564876656,32.03646696984816
41,98.05983208238801,97.45983208238802,99.45983208238802,2.0,none,False,0,-4,-4,-4,424.64600564876656,424.64600564876656,424.64600564876656,32.40667731921451
42,98.8115379631444,98.21153796314441,100.21153796314441,2.0,sell,True,1,-4,-3,-3,424.64600564876656,326.43446768562217,326.43446768562217,29.999853796188972
43,98.16884172420467,97.46884172420467,99.46884172420467,2.0,none,False,0,-3,-3,-3,326.43446768562217,326.43446768562217,326.43446768562217,31.927942513008134
44,98.9098788638782,98.2098788638782,100.2098788638782,2.0,sell,True,1,-3,-2,-2,326.43446768562217,228.22458882174396,228.22458882174396,30.404831093987553
45,99.12781928675454,98.32781928675455,100.32781928675455,2.0,sell,True,1,-2,-1,-1,228.22458882174396,129.8967695349894,129.8967695349894,30.76895024823486
46,99.2065773469938,98.30657734699379,100.30657734699379,2.0,none,False,0,-1,-1,-1,129.8967695349894,129.8967695349894,129.8967695349894,30.690192187995606
47,99.26728469138415,98.36728469138414,100.36728469138414,2.0,buy,True,1,-1,-2,-2,129.8967695349894,230.26405422637356,230.26405422637356,31.729484843605263
48,98.30623817615582,97.50623817615582,99.50623817615582,2.0,none,False,0,-2,-2,-2,230.26405422637356,230.26405422637356,230.26405422637356,33.65157787406193
49,99.06368193180218,98.26368193180218,100.26368193180218,2.0,none,False,0,-2,-2,-2,230.26405422637356,230.26405422637356,230.26405422637356,32.1366903627692
50,98.6787101826075,97.8787101826075,99.8787101826075,2.0,sell,True,1,-2,-1,-1,230.26405422637356,132.38534404376605,132.38534404376605,33.70663386115855
51,99.5726090732035,98.67260907320349,100.67260907320349,2.0,buy,True,1,-1,-2,-2,132.38534404376605,233.05795311696954,233.05795311696954,33.91273497056255
52,98.71103411014026,97.91103411014026,99.91103411014026,2.0,none,False,0,-2,-2,-2,233.05795311696954,233.05795311696954,233.05795311696954,35.63588489668902
53,99.24270296875423,98.44270296875423,100.44270296875423,2.0,buy,True,1,-2,-3,-3,233.05795311696954,333.5006560857238,333.5006560857238,35.77254717946107
54,99.34231015574412,98.64231015574411,100.64231015574411,2.0,sell,True,1,-3,-2,-2,333.5006560857238,234.8583459299797,234.8583459299797,36.17372561849146
55,99.18858603614589,98.3885860361459,100.3885860361459,2.0,sell,True,1,-2,-1,-1,234.8583459299797,136.46975989383378,136.46975989383378,37.28117385768789
56,99.64844817432585,98.74844817432584,100.74844817432584,2.0,buy,True,1,-1,-2,-2,136.46975989383378,237.21820806815964,237.21820806815964,37.92131171950794
57,100.63874688764764,99.83874688764764,101.83874688764764,2.0,buy,True,1,-2,-3,-3,237.21820806815964,339.05695495580727,339.05695495580727,37.140714292864345
58,100.67389856971883,99.97389856971883,101.97389856971883,2.0,buy,True,1,-3,-4,-4,339.05695495580727,441.0308535255261,441.0308535255261,38.335259246650764
59,100.35006969401374,99.75006969401375,101.75006969401375,2.0,buy,True,1,-4,-5,-5,441.0308535255261,542.7809232195398,542.7809232195398,41.03057474947104
60,99.79050446291686,99.29050446291686,101.29050446291686,2.0,sell,True,1,-5,-4,-4,542.7809232195398,443.49041875662294,443.49041875662294,44.328400904955515
61,99.24838803053916,98.64838803053917,100.64838803053917,2.0,none,False,0,-4,-4,-4,443.49041875662294,443.49041875662294,443.49041875662294,46.4968666344663
